جيّد,good,adj,m
تَعبان,tired,adj,m
تَمام,excellent,adj,n
لا بَأس,not bad,adj,n
سَعيد,happy,adj,m
حَزين,sad,adj,m
جائِع,hungry,adj,m
خائِف,scared,adj,m
غاضِب,mad,adj,m
خَجِل,shy,adj,m
